match_id,home_goals,away_goals,home_shots,away_shots,home_yellow,away_yellow,home_red,away_red
514,1,0,12,6,3,4,0,0
515,0,3,4,16,2,0,0,0
516,2,2,4,17,6,5,0,0
517,1,0,11,9,2,5,0,1
518,2,1,9,7,0,0,0,0
519,1,1,18,6,1,4,0,0
520,1,2,27,5,0,0,0,0
521,3,1,9,16,2,2,0,0
522,0,5,9,13,1,2,0,0
523,2,0,13,8,2,6,0,0
524,2,0,2,7,3,2,0,0
525,1,2,7,12,3,0,0,0
526,2,2,13,13,2,6,0,0
527,1,1,12,7,1,1,0,0
528,1,5,6,20,4,3,0,0
529,2,1,9,10,3,3,0,0
530,2,0,12,9,1,0,0,1
531,2,2,12,9,1,2,0,0
532,0,3,10,10,3,2,0,0
533,2,1,11,9,4,3,0,0
534,0,1,14,6,2,2,0,0
535,2,0,12,11,2,1,0,0
536,4,3,14,4,4,3,0,0
537,0,3,11,15,2,2,0,0
538,2,2,16,6,4,3,0,0
539,1,0,15,9,3,6,0,0
540,1,0,2,14,4,3,1,0
541,0,0,9,6,3,1,0,0
542,2,1,8,13,5,2,1,0
543,1,0,8,10,7,3,0,0
544,3,3,14,13,4,2,0,0
545,1,1,6,9,2,2,0,0
546,1,0,11,7,3,1,0,0
547,0,1,20,6,0,2,0,0
548,0,0,15,9,2,3,0,0
549,1,2,17,10,5,2,0,1
550,1,1,10,14,1,0,0,0
551,1,1,14,18,4,3,1,0
552,3,0,23,1,3,1,0,0
553,1,2,19,5,0,3,0,0
554,2,0,11,7,3,5,0,0
555,0,1,18,9,4,3,0,0
556,1,2,6,13,0,1,0,0
557,1,1,14,10,0,4,0,0
558,1,0,10,9,4,2,0,0
559,2,5,5,18,1,2,2,0
560,4,2,16,10,1,2,0,0
561,2,2,8,11,2,1,0,0
562,1,2,8,17,2,3,0,1
563,2,1,8,23,2,3,0,1
564,0,1,11,3,1,4,0,0
565,1,1,15,14,2,2,0,1
566,1,1,15,5,1,2,0,0
567,1,0,12,14,2,4,0,0
568,1,0,9,6,2,0,0,0
569,1,2,15,12,2,3,0,0
570,1,0,6,15,4,2,0,0
571,2,1,12,11,2,2,0,0
572,1,3,7,9,4,5,1,0
573,1,1,10,21,3,2,0,0
574,1,2,7,14,0,4,0,0
575,1,0,9,19,1,3,0,0
576,1,2,3,14,0,0,0,0
577,1,1,12,8,3,2,0,0
578,4,1,26,6,0,1,0,1
579,1,0,7,9,3,4,0,0
580,4,0,14,9,1,3,0,0
581,1,1,16,16,7,8,1,0
582,1,1,20,11,4,2,0,0
583,0,1,16,8,2,2,1,0
584,1,1,25,6,1,4,0,0
585,0,3,6,20,3,3,1,0
586,0,0,29,5,1,1,0,0
587,7,1,22,7,0,1,0,0
588,0,3,13,13,3,6,0,0
589,2,1,17,12,3,1,0,0
590,1,1,3,5,2,3,0,0
591,0,1,5,19,2,4,1,0
592,2,0,17,10,2,3,0,0
593,1,0,5,21,2,0,0,0
594,0,0,7,13,4,6,0,0
595,5,1,22,8,1,2,0,0
596,1,0,11,3,5,2,0,0
597,2,2,10,12,3,1,0,0
598,2,1,11,13,3,3,0,0
599,2,1,8,3,1,2,0,0
600,2,1,12,10,2,2,0,0
601,1,0,20,8,2,2,0,0
602,3,0,23,3,0,4,0,0
603,3,2,14,12,3,5,0,0
604,1,2,20,9,6,3,0,0
605,1,1,23,10,1,3,0,0
606,0,1,12,4,2,6,0,0
607,1,4,8,10,5,2,0,1
608,2,1,13,4,1,2,0,0
609,2,0,18,12,1,1,0,0
610,1,1,10,19,1,4,0,0
611,1,2,14,10,2,3,1,0
612,1,1,9,11,3,5,1,0
613,3,3,8,16,4,5,1,0
614,1,1,11,17,3,1,0,1
615,1,1,13,12,0,5,0,0
616,3,0,24,5,0,2,0,2
617,1,1,12,14,1,1,0,0
618,3,1,14,9,1,4,0,0
619,0,4,7,11,4,2,0,0
620,1,0,14,9,2,3,0,0
621,1,0,12,18,1,0,0,0
622,0,1,15,9,2,2,0,0
623,0,2,10,15,1,1,0,0
624,0,3,18,11,1,3,0,0
625,0,1,10,10,1,4,1,0
626,7,1,29,5,2,3,0,1
627,1,2,10,13,3,0,1,1
628,2,0,22,6,0,2,0,0
629,3,0,12,8,3,3,0,0
630,1,1,19,13,1,3,0,0
631,1,1,23,4,2,1,0,1
632,1,0,12,15,2,3,0,0
633,2,1,18,9,3,4,0,0
634,2,2,9,10,0,0,0,0
635,1,1,20,10,1,0,0,0
636,4,0,33,0,0,0,0,1
637,1,0,5,9,1,1,0,0
638,1,1,15,19,0,2,0,0
639,3,3,12,12,2,1,0,0
640,1,0,5,24,3,1,2,0
641,2,1,7,12,3,2,0,0
642,2,1,17,11,1,3,0,0
643,1,1,8,9,1,3,0,0
644,1,0,14,8,2,8,0,1
645,2,1,11,4,6,2,0,1
646,2,1,10,20,3,1,0,0
647,0,1,7,9,2,1,0,0
648,1,1,7,18,3,3,0,0
649,2,2,14,9,5,5,0,0
650,1,1,14,12,2,1,0,0
651,2,1,20,2,0,2,0,0
652,0,1,5,10,3,3,0,0
653,1,2,23,9,2,1,0,0
654,2,4,7,13,1,3,0,0
655,2,3,10,21,2,1,0,0
656,1,2,12,7,2,3,0,1
657,0,1,11,9,4,2,0,0
658,2,2,10,8,3,2,0,0
659,3,0,19,4,1,3,0,0
660,0,2,12,11,3,5,0,0
661,1,1,8,13,2,1,0,0
662,3,2,24,10,1,4,0,0
663,2,1,12,12,2,3,0,0
664,0,0,11,5,1,1,0,0
665,4,1,21,4,0,1,0,0
666,2,1,11,6,4,4,0,0
667,1,2,11,9,1,4,0,0
668,1,0,8,8,5,5,0,0
669,1,1,19,4,3,0,0,0
670,0,4,16,15,2,2,0,0
671,1,1,13,6,2,1,0,0
672,0,1,11,14,1,4,0,0
673,1,2,7,10,3,0,0,0
674,1,2,21,10,0,4,0,0
675,1,3,13,13,0,2,0,0
676,1,2,11,13,1,4,0,0
677,0,4,5,16,3,1,1,0
678,0,0,12,11,0,1,1,0
679,1,1,13,14,3,3,0,0
680,1,0,8,12,3,2,0,0
681,0,2,16,5,2,2,0,0
682,1,3,11,10,0,2,1,0
683,0,1,6,12,2,1,0,0
684,0,2,15,7,3,1,0,0
685,0,1,13,11,4,4,1,1
686,3,1,13,11,4,3,0,0
687,1,2,24,8,0,4,0,0
688,2,1,13,18,2,0,0,0
689,4,2,24,6,1,1,0,0
690,1,0,9,9,0,2,0,1
691,4,3,18,11,2,2,0,0
692,1,0,8,7,3,1,0,0
693,0,0,11,15,2,1,0,0
694,1,1,11,10,3,1,0,0
695,1,0,22,3,1,2,0,0
696,1,1,10,11,2,2,0,0
697,2,3,12,11,2,0,0,0
698,2,2,20,4,5,1,0,0
699,1,3,11,17,3,2,0,0
700,1,0,40,4,0,1,0,0
701,1,1,16,8,2,1,0,0
702,1,0,10,6,4,5,0,0
703,1,0,13,10,1,3,0,0
704,3,0,21,4,2,1,0,1
705,0,1,20,14,3,1,0,0
706,3,0,10,12,0,2,0,0
