player_id,matches_played,starts,minutes_played,goals,assists,yellow_cards,red_cards
1846,11,2,306,0,0,0,0
1847,2,0,13,0,0,1,0
1848,19,9,828,2,1,0,0
1849,8,3,181,0,0,0,0
1850,22,16,1308,0,0,3,1
1851,26,25,2306,1,2,1,0
1852,15,5,383,1,0,2,0
1853,12,4,430,2,0,1,0
1854,32,31,2649,11,2,5,0
1855,31,26,2107,6,4,1,0
1856,3,2,154,0,0,0,0
1857,1,0,22,0,0,0,0
1858,26,24,2110,1,0,3,0
1859,31,23,2175,1,1,5,1
1860,17,8,916,0,0,1,0
1861,23,15,1278,1,0,3,0
1862,15,3,424,1,0,0,0
1863,35,27,2409,1,1,5,1
1864,23,22,1932,3,0,5,0
1865,33,29,2430,9,0,3,0
1866,15,4,441,0,0,0,0
1867,27,11,1061,1,0,2,0
1868,28,28,2324,0,5,8,0
1869,8,3,401,0,0,0,0
1870,18,12,1131,1,2,2,0
1871,9,4,406,0,0,1,0
1872,30,26,2143,8,4,4,0
1873,31,26,2345,10,4,5,1
1874,5,0,126,0,0,0,0
1875,10,6,479,0,0,1,0
1876,31,28,2459,0,0,4,0
1877,1,1,71,0,0,0,0
1878,1,0,3,0,0,0,0
1879,11,5,487,1,1,1,0
1880,4,1,187,0,0,0,0
1881,24,24,2137,0,1,3,0
1882,28,13,1283,2,4,1,0
1883,2,2,180,0,0,0,0
1884,35,24,2269,4,6,8,0
1885,24,8,969,0,2,2,0
1886,22,22,1980,0,0,0,0
1887,18,2,382,0,1,1,0
1888,29,22,1844,3,8,1,0
1889,30,27,2312,1,1,14,0
1890,18,1,216,0,0,2,0
1891,11,7,688,0,0,1,1
1892,8,2,289,0,0,0,0
1893,1,0,13,0,0,0,0
1894,31,30,2726,0,0,2,0
1895,22,19,1707,1,0,4,1
1896,24,8,943,3,1,0,0
1897,6,6,518,0,0,3,1
1898,7,7,623,0,1,0,0
1899,19,19,1639,0,0,0,0
1900,35,33,2861,4,2,7,1
1901,8,0,154,0,0,1,0
1902,2,0,35,0,0,1,0
1903,24,17,1553,1,6,8,1
1904,16,0,394,1,0,1,0
1905,13,9,858,0,0,2,0
1906,1,0,12,0,0,0,0
1907,26,10,952,3,2,1,0
1908,29,9,1034,3,1,6,1
1909,12,4,382,0,0,1,0
1910,27,9,921,3,2,2,0
1911,26,19,1509,4,1,3,0
1912,19,3,467,3,0,1,0
1913,16,14,1166,4,1,2,0
1914,6,0,80,0,0,0,0
1915,14,8,719,0,0,0,0
1916,30,8,861,2,2,2,0
1917,5,2,237,0,0,0,0
1918,1,0,16,0,0,0,0
1919,24,16,1129,3,0,6,0
1920,23,13,1052,3,1,2,0
1921,34,34,3060,0,1,0,0
1922,3,0,12,0,0,0,0
1923,26,19,1674,1,6,4,0
1924,30,8,1133,5,2,8,0
1925,10,7,645,0,0,4,0
1926,25,16,1558,3,3,0,0
1927,26,11,895,4,2,1,0
1928,30,30,2673,0,0,2,0
1929,20,10,887,1,2,4,0
1930,27,20,1689,1,0,11,0
1931,21,16,1460,6,1,3,1
1932,2,2,125,0,0,2,0
1933,34,34,2819,5,4,8,1
1934,20,17,1571,2,0,5,0
1935,21,11,938,2,2,1,0
1936,35,35,3122,0,2,6,0
1937,21,13,1077,1,1,4,0
1938,7,1,165,0,0,1,0
1939,36,36,3240,0,0,0,0
1940,2,2,175,0,1,0,0
1941,29,24,1952,6,1,1,0
1942,16,9,850,1,0,0,0
1943,3,2,195,0,0,0,0
1944,2,0,43,0,0,1,0
1945,29,26,2213,0,2,0,0
1946,5,3,238,0,0,0,0
1947,2,0,19,0,0,0,0
1948,1,0,8,0,0,1,0
1949,17,1,416,1,0,5,0
1950,11,5,414,1,0,0,0
1951,4,0,40,0,0,0,0
1952,19,12,1125,1,0,4,0
1953,1,0,2,0,0,0,0
1954,25,25,2250,0,0,1,0
1955,22,20,1695,1,0,5,1
1956,1,1,54,0,0,0,0
1957,10,3,299,0,2,0,0
1958,22,7,857,1,1,2,0
1959,13,4,528,0,0,0,0
1960,13,7,670,0,1,1,0
1961,34,28,2334,12,15,3,0
1962,17,12,1017,0,1,2,0
1963,21,21,1890,0,1,6,0
1964,32,26,2370,0,2,4,0
1965,25,13,1212,10,3,1,0
1966,4,1,226,0,0,0,0
1967,1,0,8,0,0,0,0
1968,22,21,1799,0,0,1,0
1969,12,11,978,0,0,0,1
1970,10,6,539,0,0,5,1
1971,31,9,957,4,1,1,1
1972,26,20,1617,3,0,4,0
1973,34,34,3060,0,0,0,0
1974,9,2,304,0,0,1,0
1975,12,3,422,5,0,0,0
1976,6,1,110,0,0,0,0
1977,25,11,1050,4,1,4,0
1978,2,0,25,0,0,0,0
1979,31,30,2586,0,1,8,0
1980,33,28,2453,9,5,5,1
1981,13,13,1169,0,2,2,1
1982,9,2,273,0,0,0,0
1983,4,0,36,0,0,0,0
1984,1,0,3,0,0,0,0
1985,3,2,186,2,0,1,0
1986,13,7,687,4,0,2,0
1987,25,25,2222,5,0,4,2
1988,22,21,1861,0,0,6,0
1989,2,0,49,0,0,0,0
1990,37,29,2315,3,3,3,0
1991,37,35,2966,5,4,8,0
1992,30,23,1878,15,4,2,0
1993,13,12,1100,0,0,1,0
1994,5,4,353,0,1,0,0
1995,9,1,257,1,0,0,0
1996,20,20,1654,1,0,1,1
1997,3,2,172,0,0,0,0
1998,30,27,2267,1,0,6,1
1999,14,0,134,1,0,0,0
2000,1,0,5,0,0,0,0
2001,3,3,179,0,0,1,1
2002,1,0,14,0,0,0,0
2003,32,21,2005,7,4,3,0
2004,17,3,471,1,1,1,0
2005,12,5,391,0,1,2,0
2006,11,3,299,0,0,1,0
2007,3,0,50,0,0,0,0
2008,10,4,343,0,0,1,0
2009,9,1,151,0,0,2,0
2010,6,5,487,0,0,0,0
2011,1,1,90,0,0,0,0
2012,28,28,2344,1,3,7,0
2013,35,28,2250,9,3,4,1
2014,5,0,103,0,0,1,0
2015,11,3,353,0,0,0,0
2016,11,3,391,0,0,0,0
2017,11,8,757,0,0,1,0
2018,9,6,528,2,0,0,0
2019,14,9,854,0,0,3,0
2020,28,23,2132,0,1,2,0
2021,1,1,90,0,0,0,0
2022,5,3,321,0,0,0,0
2023,9,0,116,0,0,0,0
2024,24,11,1155,1,6,2,0
2025,8,5,446,0,0,2,0
2026,2,0,11,0,0,0,0
2027,35,25,2162,4,4,5,0
2028,1,1,90,0,0,0,0
2029,9,2,222,0,0,0,0
2030,17,6,673,0,0,2,1
2031,26,23,2017,0,2,9,0
2032,1,0,5,0,0,0,0
2033,13,13,1170,0,0,2,0
2034,37,36,3191,15,8,7,0
2035,31,26,2113,2,1,5,0
2036,14,2,267,0,0,1,0
2037,33,27,2380,4,0,10,0
2038,23,21,1812,3,0,4,1
2039,2,2,123,0,1,1,0
2040,22,15,1373,3,1,4,0
2041,36,26,2273,3,3,8,0
2042,1,1,71,0,0,0,0
2043,25,11,1049,2,0,3,0
2044,35,31,2797,4,2,4,0
2045,34,23,1967,3,4,1,0
2046,8,4,408,1,0,1,0
2047,31,30,2334,1,6,4,0
2048,10,5,607,1,0,2,0
2049,3,3,270,0,0,0,0
2050,10,3,347,0,1,1,0
2051,23,18,1584,0,1,4,0
2052,21,18,1451,1,0,2,0
2053,24,21,1864,2,1,3,1
2054,26,1,445,2,0,5,0
2055,25,16,1381,1,1,5,0
2056,9,4,447,0,0,0,0
2057,35,30,2687,6,8,6,0
2058,7,2,235,0,0,0,0
2059,29,15,1362,0,0,3,0
2060,12,4,460,0,2,0,0
2061,37,35,2879,4,5,3,0
2062,30,6,1102,10,1,2,0
2063,1,0,10,0,0,0,0
2064,31,27,2298,1,1,7,0
2065,7,6,380,1,0,0,0
2066,18,10,908,0,1,2,0
2067,1,0,16,0,0,0,0
2068,11,5,414,3,0,2,0
2069,25,20,1626,2,1,4,0
2070,22,10,1067,0,4,5,0
2071,13,8,737,3,1,2,0
2072,2,0,45,0,0,0,0
2073,3,1,129,0,0,1,0
2074,4,2,205,0,0,1,0
2075,20,12,1113,1,0,3,0
2076,1,0,8,0,0,0,0
2077,16,15,1396,0,0,1,0
2078,25,7,775,0,0,1,0
2079,28,15,1500,3,6,3,0
2080,26,14,1134,1,1,1,0
2081,5,0,152,0,0,0,0
2082,2,0,14,0,0,0,0
2083,33,25,2013,2,4,7,0
2084,29,18,1571,2,7,4,0
2085,35,32,2665,1,3,10,0
2086,10,4,388,0,0,1,0
2087,2,0,31,0,0,0,0
2088,3,3,270,0,0,1,0
2089,30,22,1970,19,2,4,0
2090,27,15,1431,3,0,2,0
2091,26,4,570,0,0,1,0
2092,16,13,1114,1,0,4,0
2093,19,14,1191,2,0,6,0
2094,30,28,2558,0,0,2,0
2095,2,2,180,0,0,0,0
2096,2,2,180,0,0,0,0
2097,5,5,450,0,0,0,0
2098,28,22,2002,2,2,8,1
2099,33,33,2970,0,0,1,0
2100,34,31,2691,10,11,2,0
2101,26,20,1857,0,3,6,0
2102,1,0,6,0,0,0,0
2103,11,10,854,0,0,2,0
2104,13,2,335,0,0,1,0
2105,2,0,27,0,0,0,0
2106,31,29,2634,0,3,4,0
2107,31,31,2790,0,0,2,0
2108,35,34,2878,0,3,7,0
2109,1,0,6,0,0,0,0
2110,6,6,540,0,0,0,0
2111,2,0,17,0,0,0,0
2112,19,14,1237,0,0,6,1
2113,11,2,332,0,0,4,1
2114,10,5,474,2,0,1,0
2115,9,5,499,0,0,1,0
2116,37,37,3127,10,1,6,0
2117,18,7,785,1,2,1,0
2118,38,38,3420,0,1,7,0
2119,23,16,1498,0,0,3,0
2120,31,26,2206,7,4,7,0
2121,2,0,83,0,0,0,0
2122,36,22,1937,4,2,6,1
